"location_id","observed_at","state","water_level","sensor"
"EX48","2021-10-12 12:58:31","no_flow",9.46169258821319,"X8"
"X6","2021-10-15 11:41:44","flow",3.27096740999725,"X3"
"EX1","2021-09-18 11:43:20","no_flow",6.2064509830717,"X7"
"EX59","2021-06-11 10:35:15","flow",21.2822559047898,"X4"
"EX14","2021-07-23 07:11:56","no_flow",24.1181427137778,"X4"
"EX52","2021-10-13 10:32:54","wt",3.66935446634307,"X6"
"EX46","2021-10-20 13:56:02","no_flow",NA,"X5"
"EX68","2021-10-20 12:24:36","flow",23.1169331379613,"X4"
"EX12","2021-09-07 08:19:56","no_flow",9.92822479893395,"X8"
"X11","2021-08-06 12:32:51","flow",21.3556429941166,"X1"
"EX72","2021-09-15 12:39:47","no_flow",2.98790292259364,"X3"
"EX45","2021-09-28 08:04:39","no_flow",NA,"X5"
"X11","2021-10-06 12:33:41","flow",11.0133053339811,"X8"
"EX39","2021-09-03 09:31:01","no_flow",1.93951593220991,"X6"
"EX10","2021-09-03 08:51:52","no_flow",15.406046823689,"X1"
"EX19","2021-08-10 09:41:08","no_flow",12.9318535263833,"X2"
"EX61","2021-09-07 09:14:39","no_flow",1.73508046908508,"X6"
"X11","2021-09-28 10:14:14","no_flow",5.22620914706291,"X7"
"EX45","2021-10-13 11:46:23","no_flow",NA,"X5"
"EX15","2021-10-22 08:17:38","wt",1.79274175355618,"X6"
"EX71","2021-09-15 12:02:30","no_flow",22.687094471904,"X4"
"EX32","2021-09-15 12:02:53","no_flow",NA,"X5"
"X3","2021-10-12 11:03:22","flow",23.3633040807015,"X4"
"EX7","2021-06-02 11:03:28","no_flow",18.3782239414268,"X4"
"EX72","2021-08-18 09:41:43","no_flow",19.5366915658009,"X1"
"EX62","2021-10-12 12:52:38","no_flow",5.53024137427419,"X7"
"EX67","2021-10-12 11:01:05","wt",NA,"X5"
"EX70","2021-08-06 13:03:32","no_flow",12.2713697224416,"X8"
"EX70","2021-10-13 12:39:18","wt",7.72661211912811,"X7"
"EX39","2021-08-06 12:35:34","wt",21.2770139698379,"X1"
"EX14","2021-09-15 10:50:38","no_flow",2.38508040312299,"X7"
"EX29","2021-10-22 09:05:11","no_flow",9.9701602785493,"X8"
"X5","2021-08-26 12:41:37","wt",NA,"X3"
"EX27","2021-09-21 10:22:56","wt",NA,"X3"
"EX7","2021-09-18 11:41:39","no_flow",24.5060459002198,"X4"
"X2","2021-10-06 11:57:26","flow",4.80685435090942,"X3"
"EX34","2021-08-06 12:54:54","no_flow",5.66128974807216,"X7"
"EX66","2021-10-13 11:55:32","flow",12.2556439175858,"X8"
