"location_id","observed_at","state","water_level","sensor"
"EX72","2021-10-20 13:52:04","no_flow",23.0854815282498,"X4"
"EX3","2021-09-07 08:13:29","no_flow",13.859676012873,"X1"
"EX10","2021-08-06 10:29:40","no_flow",NA,"X6"
"X4","2021-09-21 12:17:56","flow",10.2532247659529,"X8"
"EX2","2021-08-18 06:29:00","no_flow",NA,"X6"
"X6","2021-09-03 08:40:42","flow",1.93951593220991,"X6"
"EX36","2021-10-13 12:19:21","flow",NA,"X5"
"X1","2021-08-12 11:54:12","flow",4.58669308292883,"X7"
"X6","2021-09-18 12:15:46","flow",3.45967706826632,"X3"
"EX12","2021-10-20 13:29:01","no_flow",5.32580591114936,"X7"
"EX57","2021-06-02 13:32:08","no_flow",14.2004017847477,"X1"
"EX48","2021-10-13 11:44:21","flow",NA,"X5"
"EX50","2021-09-07 10:23:12","flow",NA,"X5"
"EX30","2021-08-26 11:14:47","flow",12.5544342098452,"X2"
"EX73","2021-09-07 11:02:03","no_flow",3.0036287274494,"X3"
"EX17","2021-07-23 07:24:39","no_flow",24.1233846487297,"X4"
"X7","2021-09-21 10:10:13","wt",10.2532247659529,"X8"
"EX43","2021-07-23 08:38:17","no_flow",14.4887082071032,"X1"
"X10","2021-09-28 08:29:42","no_flow",2.97217711773788,"X3"
"EX46","2021-09-07 10:09:52","no_flow",11.8834665359996,"X2"
"EX72","2021-10-20 13:52:04","no_flow",9.5770151571554,"X8"
"X6","2021-08-06 10:57:20","flow",2.22782235456543,"X3"
"EX12","2021-09-15 11:17:59","no_flow",22.6556428621925,"X4"
"EX10","2021-09-07 08:19:38","no_flow",1.740322404037,"X6"
"X15","2021-09-01 12:17:54","wt",10.7931440660005,"X8"
"EX19","2021-10-13 10:19:58","flow",NA,"X5"
"EX24","2021-09-07 08:37:47","no_flow",2.9774190526898,"X3"
"EX40","2021-07-23 08:33:17","no_flow",24.0499975594028,"X4"
"EX9","2021-10-13 09:51:40","no_flow",NA,"X5"
"X7","2021-09-07 08:35:24","no_flow",1.75604820889275,"X6"
"EX3","2021-07-23 07:18:23","no_flow",1.75604820889275,"X3"
"EX15","2021-08-10 09:12:33","no_flow",1.64072563995054,"X3"
"X8","2021-09-28 09:26:29","no_flow",9.30967647460755,"X8"
"EX65","2021-07-23 08:43:00","no_flow",1.7141127292774,"X3"
"EX63","2021-08-26 12:49:36","flow",NA,"X3"
"EX9","2021-10-13 09:51:40","no_flow",16.370562854842,"X2"
"EX53","2021-10-20 13:41:21","no_flow",11.7104826825863,"X2"
"X2","2021-07-23 08:43:40","no_flow",14.4887082071032,"X1"
"EX21","2021-09-21 10:02:41","no_flow",NA,"X5"
"EX13","2021-08-06 10:18:07","no_flow",NA,"X4"
"X1","2021-09-13 11:52:50","flow",NA,"X5"
"EX25","2021-08-06 10:57:12","flow",14.1951598497957,"X2"
"EX18","2021-08-18 07:12:28","flow",NA,"X6"
"X7","2021-07-23 07:36:32","no_flow",24.0919330390182,"X4"
"EX4","2021-09-28 09:21:51","no_flow",22.7709654311347,"X4"
"X4","2021-09-21 12:17:56","flow",2.29596750894038,"X6"
"EX47","2021-09-07 10:35:40","wt",23.074997658346,"X4"
"X10","2021-09-28 08:29:42","no_flow",9.32016034451139,"X8"
"EX9","2021-08-26 09:10:04","no_flow",12.5544342098452,"X2"
"EX70","2021-09-07 11:34:52","no_flow",3.44395126341056,"X7"
"EX14","2021-06-02 11:34:18","no_flow",14.0431437361901,"X2"
"EX53","2021-09-15 12:50:24","no_flow",9.27298292994412,"X8"
"EX71","2021-08-10 11:56:33","no_flow",10.6516118222987,"X8"
"EX20","2021-06-02 12:12:56","no_flow",NA,"X5"
"EX41","2021-09-15 12:16:08","no_flow",9.28346679984796,"X8"
"EX5","2021-09-07 08:10:45","no_flow",3.03508033716091,"X3"
"X1","2021-07-20 12:41:36","flow",11.2282246670098,"X8"
"X9","2021-07-28 09:34:24","flow",15.9407241887847,"X8"
"EX25","2021-08-26 10:37:53","flow",NA,"X5"
"EX25","2021-07-23 07:55:24","wt",24.0762072341624,"X4"
"EX51","2021-06-11 11:34:29","wt",NA,"X6"
"EX42","2021-10-13 12:09:38","wt",26.6762069703141,"X4"
"EX52","2021-08-06 11:04:01","wt",12.3866922913838,"X8"
"EX9","2021-10-13 09:51:40","no_flow",5.69274135778367,"X3"
"EX73","2021-08-10 11:02:59","no_flow",10.7459666514333,"X8"
"X13","2021-10-13 13:11:47","flow",3.45967706826632,"X6"
"EX15","2021-08-10 09:12:33","no_flow",26.2044328246414,"X4"
"EX68","2021-09-03 09:43:06","flow",1.92379012735415,"X6"
"EX52","2021-10-12 12:40:35","no_flow",14.6616920605165,"X1"
"X8","2021-10-12 12:21:50","wt",NA,"X5"
"EX65","2021-10-12 13:14:02","no_flow",3.0612900119205,"X3"
"EX6","2021-08-10 09:07:45","no_flow",10.8036279359044,"X8"
"X3","2021-08-26 12:00:11","flow",15.8673370994578,"X1"
"EX14","2021-10-22 08:02:12","no_flow",17.3874982355142,"X1"
